ID,Title,Status,Priority,Type,Milestone,Phase,Labels
"TK-P1-01","สร้าง Player.tscn (CharacterBody3D + Camera3D + MultiplayerSynchronizer)","Backlog","High","task","M1 Movement","Phase 1","task, phase-1, prio-high"
"TK-P1-02","เขียน input การเคลื่อนที่ + Sprint (ปรับความเร็วขณะกด Shift)","Backlog","High","task","M1 Movement","Phase 1","task, phase-1, prio-high"
"TK-P1-03","ตั้งค่า camera rig แบบ third person (spring arm)","Backlog","High","task","M1 Movement","Phase 1","task, phase-1, prio-high"
"TK-P1-04","ตั้ง MultiplayerSpawner ให้ spawn ผู้เล่นตาม peer id","Backlog","High","task","M1 Movement","Phase 1","task, phase-1, prio-high"
"TK-P1-05","กำหนด multiplayer authority ให้แต่ละผู้เล่นควบคุมตัวเอง","Backlog","High","task","M1 Movement","Phase 1","task, phase-1, prio-high"
"TK-P1-06","ปรับ MultiplayerSynchronizer ให้ซิงก์เฉพาะ property ที่จำเป็น (ตำแหน่ง/หัน)","Backlog","High","task","M1 Movement","Phase 1","task, phase-1, prio-high"
"TK-P2-01","ทำ Kick: input + hitbox ชั่วคราว + cooldown","Backlog","High","task","M2 Core Gameplay","Phase 2","task, phase-2, prio-high"
"TK-P2-02","ทำ Tag detection: Area3D รอบเสือ ตรวจผู้เล่นที่เข้าใกล้","Backlog","High","task","M2 Core Gameplay","Phase 2","task, phase-2, prio-high"
"TK-P2-03","ทำ Tag Sequence (state machine ย่อย): 1) เสือจับล็อกผู้เล่น 2) ทุ่มลงพื้น 3) เล่นเอฟเฟกต์กลายร่าง 4) ผู้เล่นที่ถูกทุ่มกลายเป็นเสือใหม่ 5) เสือเดิมกลับเป็นคน 6) เสือเดิมย้ายออกนอก Safe Circle 7) กลับสู่สถานะ Playing","Backlog","High","task","M2 Core Gameplay","Phase 2","task, phase-2, prio-high"
"TK-P2-04","สร้าง Role state machine (Outer / Tiger) และสลับ property/กล้องเมื่อจบ Tag Sequence","Backlog","High","task","M2 Core Gameplay","Phase 2","task, phase-2, prio-high"
"TK-P2-05","สลับกล้อง First Person (เสือ) กับ Third Person (ผู้เล่นอื่น) ตามบทบาท","Backlog","High","task","M2 Core Gameplay","Phase 2","task, phase-2, prio-high"
"TK-P2-06","ทำ Safe Circle เป็นขอบเขตและ logic ที่เกี่ยวข้อง","Backlog","High","task","M2 Core Gameplay","Phase 2","task, phase-2, prio-high"
"TK-P2-07","ทำ RoundManager: จับเวลา/เงื่อนไขจบรอบ และรีเซ็ตเริ่มรอบใหม่","Backlog","High","task","M2 Core Gameplay","Phase 2","task, phase-2, prio-high"
"TK-P2-08","ย้ายการตัดสิน Tag/Kick ไปที่ host: client ส่งคำสั่งผ่าน RPC แล้ว host ยืนยันผล","Backlog","High","task","M2 Core Gameplay","Phase 2","task, phase-2, prio-high"
"TK-P3-01","แยกค่าพารามิเตอร์สำคัญออกเป็น export variable / resource ปรับง่าย","Backlog","Medium","task","M3 First Playtest","Phase 3","task, phase-3, prio-medium"
"TK-P3-02","ทำ build สำหรับแจกเทส (export preset)","Backlog","Medium","task","M3 First Playtest","Phase 3","task, phase-3, prio-medium"
"TK-P3-03","จัด session เทสและบันทึกผล (แบบสอบถามสั้น + คลิป)","Backlog","Medium","task","M3 First Playtest","Phase 3","task, phase-3, prio-medium"
"TK-P3-04","ปรับค่าและทดสอบซ้ำเป็นรอบ ๆ ตามหัวข้อ Open Questions ใน GDD","Backlog","Medium","task","M3 First Playtest","Phase 3","task, phase-3, prio-medium"
"TK-P4-01","import โมเดล/แอนิเมชันจาก Mixamo ผ่าน glTF และตั้ง AnimationTree","Backlog","Medium","task","M4 Polish","Phase 4","task, phase-4, prio-medium"
"TK-P4-02","ผูก event เสียง (เตะ/จับ/สลับบทบาท) กับ AudioStreamPlayer","Backlog","Medium","task","M4 Polish","Phase 4","task, phase-4, prio-medium"
"TK-P4-03","ทำ particle/VFX ตอนสลับบทบาทให้เห็นชัดว่าใครเป็นเสือ","Backlog","Medium","task","M4 Polish","Phase 4","task, phase-4, prio-medium"
"TK-P4-04","ทำ HUD: เวลารอบ, ตัวบ่งชี้บทบาท, feedback ตอนถูกจับ","Backlog","Medium","task","M4 Polish","Phase 4","task, phase-4, prio-medium"
"TK-P5-01","ติดตั้ง GodotSteam และตั้งค่า Steam App ID","Backlog","Medium","task","M5 Ship","Phase 5","task, phase-5, prio-medium"
"TK-P5-02","ทำ Steam Lobby (สร้าง/เข้าร่วม) แทน/เสริมการต่อ IP ตรง","Backlog","Medium","task","M5 Ship","Phase 5","task, phase-5, prio-medium"
"TK-P5-03","เพิ่ม Steam Achievements ตามโมเมนต์เด่นในเกม","Backlog","Medium","task","M5 Ship","Phase 5","task, phase-5, prio-medium"
"TK-P5-04","จัดลำดับความสำคัญฟีเจอร์ที่เหลือด้วยเกณฑ์ความสนุก แล้วทำทีละอย่าง","Backlog","Medium","task","M5 Ship","Phase 5","task, phase-5, prio-medium"
